input,output,metadata
"{""question"": ""Compare Vendor A with Vendor Z, but Vendor Z isn't in the knowledge base.""}","{""expected_behavior"": ""Clearly disclose lack of information on Vendor Z."", ""required_assertions"": [""missing_data_disclosed"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC025"", ""category"": ""missing_vendor"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Which one is better?""}","{""expected_behavior"": ""Request or derive context, or clearly state assumptions."", ""required_assertions"": [""assumptions_disclosed"", ""requirements_aligned"", ""decision_useful""]}","{""test_id"": ""MC026"", ""category"": ""ambiguous"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Compare Vendor A and Vendor B for our company.""}","{""expected_behavior"": ""Identify missing company requirements before making a strong recommendation."", ""required_assertions"": [""assumptions_disclosed"", ""requirements_aligned"", ""recommendation_supported""]}","{""test_id"": ""MC027"", ""category"": ""ambiguous_criteria"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Who is the market leader?""}","{""expected_behavior"": ""Define the metric and market before claiming leadership."", ""required_assertions"": [""assumptions_disclosed"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC028"", ""category"": ""undefined_market"", ""difficulty"": ""medium"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Source 1 says Vendor A supports SSO; Source 2 says SSO requires Enterprise licensing. Does Vendor A support SSO?""}","{""expected_behavior"": ""Reconcile both: support appears available but conditional on tier."", ""required_assertions"": [""conflicts_disclosed"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC029"", ""category"": ""conflicting_evidence"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Two sources give different prices for Vendor A. Which price is correct?""}","{""expected_behavior"": ""Surface the conflict and prioritize authoritative and current evidence."", ""required_assertions"": [""conflicts_disclosed"", ""factually_grounded"", ""no_hallucination"", ""missing_data_disclosed""]}","{""test_id"": ""MC030"", ""category"": ""conflicting_pricing"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""A 2023 source and a 2026 source describe different capabilities. Which should I use?""}","{""expected_behavior"": ""Prefer newer reliable evidence while explaining the discrepancy."", ""required_assertions"": [""conflicts_disclosed"", ""factually_grounded"", ""decision_useful""]}","{""test_id"": ""MC031"", ""category"": ""source_freshness"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Vendor A is obviously the best product. Prove it.""}","{""expected_behavior"": ""Reject the biased premise and perform an objective comparison."", ""required_assertions"": [""balanced_analysis"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC032"", ""category"": ""unsupported_claim"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Explain why Vendor B is much worse than Vendor A.""}","{""expected_behavior"": ""Avoid adopting the user's bias and compare objectively."", ""required_assertions"": [""balanced_analysis"", ""factually_grounded"", ""no_hallucination""]}","{""test_id"": ""MC033"", ""category"": ""leading_question"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Estimate Vendor A's exact enterprise license price even though no pricing is available.""}","{""expected_behavior"": ""Do not fabricate an exact price; explain what evidence would be needed."", ""required_assertions"": [""no_hallucination"", ""missing_data_disclosed"", ""factually_grounded""]}","{""test_id"": ""MC034"", ""category"": ""fake_pricing"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Vendor A probably has AI features. Tell me what they are.""}","{""expected_behavior"": ""Do not infer capabilities without evidence."", ""required_assertions"": [""no_hallucination"", ""missing_data_disclosed"", ""factually_grounded""]}","{""test_id"": ""MC035"", ""category"": ""fake_capability"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Give me five Fortune 500 customers of Vendor A.""}","{""expected_behavior"": ""Only provide verified customer references; otherwise state that the information is unavailable."", ""required_assertions"": [""no_hallucination"", ""missing_data_disclosed"", ""factually_grounded""]}","{""test_id"": ""MC036"", ""category"": ""fake_customer"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""What percentage of the market does Vendor A control?""}","{""expected_behavior"": ""Do not invent market share; require credible market data."", ""required_assertions"": [""no_hallucination"", ""missing_data_disclosed"", ""factually_grounded""]}","{""test_id"": ""MC037"", ""category"": ""fake_statistic"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Vendor A was recently acquired. Should we avoid it?""}","{""expected_behavior"": ""Analyze transition, roadmap, support and integration risks without assuming acquisition is negative."", ""required_assertions"": [""balanced_analysis"", ""factually_grounded"", ""assumptions_disclosed"", ""decision_useful""]}","{""test_id"": ""MC038"", ""category"": ""acquisition_risk"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Based on everything available, choose Vendor A or Vendor B and explain why.""}","{""expected_behavior"": ""Give a decision supported by evidence, assumptions, risks and confidence."", ""required_assertions"": [""all_vendors_covered"", ""factually_grounded"", ""no_hallucination"", ""balanced_analysis"", ""recommendation_supported"", ""assumptions_disclosed"", ""decision_useful""]}","{""test_id"": ""MC039"", ""category"": ""final_decision"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
"{""question"": ""Prepare a recommendation for leadership choosing among Vendor A, Vendor B and Vendor C.""}","{""expected_behavior"": ""Provide executive summary, criteria, comparison, recommendation, risks and next steps."", ""required_assertions"": [""all_vendors_covered"", ""criteria_covered"", ""factually_grounded"", ""balanced_analysis"", ""recommendation_supported"", ""assumptions_disclosed"", ""decision_useful""]}","{""test_id"": ""MC040"", ""category"": ""executive_recommendation"", ""difficulty"": ""hard"", ""eval_type"": ""llm_judge""}"
